order_id,tracking_id,customer_id,origin_fc,dest_station,carrier,promised_date,current_status,delay_hours,delay_reason,weather_alert,risk_level
AMZ-1082-93821,TBA918239102,CUST-49210,ONT8,DLA9,AMZL,2026-09-17 18:00,Delayed - Sort Center Bottleneck,14.5,SORT_JAM_ONT8,CLEAR,HIGH
AMZ-1082-93822,TBA918239103,CUST-81923,JFK8,DNY4,AMZL,2026-09-17 20:00,Delivered,0.0,ON_TIME,CLEAR,LOW
AMZ-1082-93823,1Z999999999,CUST-19284,ORD4,DCH2,UPS,2026-09-16 19:00,Delayed - Severe Weather,28.0,WEATHER_STORM_MIDWEST,BLIZZARD_ALERT_I80,CRITICAL
AMZ-1082-93824,TBA918239105,CUST-55102,DFW7,DTX1,AMZL,2026-09-18 12:00,In Transit - Out for Delivery,0.0,ON_TIME,CLEAR,LOW
AMZ-1082-93825,98765432101,CUST-77219,BFI4,DSE3,FedEx,2026-09-16 17:00,Delayed - Carrier Capacity,18.2,CARRIER_CAPACITY_OVERFLOW,RAIN_MODERATE,HIGH
AMZ-1082-93826,TBA918239107,CUST-33910,ONT8,DLA4,AMZL,2026-09-17 16:00,Delayed - Sort Center Bottleneck,12.0,SORT_JAM_ONT8,CLEAR,HIGH
AMZ-1082-93827,TBA918239108,CUST-99214,JFK8,DNJ2,AMZL,2026-09-18 11:00,In Transit,0.0,ON_TIME,CLEAR,LOW
AMZ-1082-93828,1Z999999998,CUST-22415,ORD4,DCH5,UPS,2026-09-16 20:00,Delayed - Severe Weather,26.5,WEATHER_STORM_MIDWEST,BLIZZARD_ALERT_I80,CRITICAL
AMZ-1082-93829,TBA918239110,CUST-66291,PHL7,DPA1,AMZL,2026-09-17 19:00,Delayed - Misrouted Sort,9.5,MISROUTED_POSTAL_SPLIT,CLEAR,MEDIUM
AMZ-1082-93830,TBA918239111,CUST-11928,ONT8,DLA7,AMZL,2026-09-17 15:00,Delayed - Sort Center Bottleneck,15.0,SORT_JAM_ONT8,CLEAR,HIGH
AMZ-1082-93831,TBA918239112,CUST-84910,DFW7,DTX3,AMZL,2026-09-18 14:00,Delivered,0.0,ON_TIME,CLEAR,LOW
AMZ-1082-93832,98765432102,CUST-44102,BFI4,DSE1,FedEx,2026-09-16 16:00,Delayed - Carrier Capacity,19.0,CARRIER_CAPACITY_OVERFLOW,RAIN_MODERATE,HIGH
